addr,size,name,is_thunk,xref_count,calls_out,status
0047aaf0,13,FUN_0047aaf0,false,1,1,RAW-src
0047ab00,83,FUN_0047ab00,false,1,4,RAW-src
0047ab60,32,FUN_0047ab60,false,1,2,RAW-src
0047ab80,13,FUN_0047ab80,false,1,1,RAW-src
0047ab90,1754,FUN_0047ab90,false,1,14,RAW-src
0047b2a0,20,FUN_0047b2a0,false,2,1,RAW-src
0047b2c0,32,FUN_0047b2c0,false,1,2,RAW-src
0047b2e0,13,FUN_0047b2e0,false,1,1,RAW-src
0047b2f0,2785,FUN_0047b2f0,false,1,27,RAW-src
0047bde0,31,FUN_0047bde0,false,1,2,RAW-src
0047be00,128,FUN_0047be00,false,1,1,RAW-src
0047be80,334,FUN_0047be80,false,4,0,RAW-src
0047bfd0,101,FUN_0047bfd0,false,6,4,RAW-src
0047c040,934,FUN_0047c040,false,1,10,RAW-src
0047c3f0,1615,FUN_0047c3f0,false,1,12,RAW-src
0047ca40,4507,FUN_0047ca40,false,1,19,RAW-src
0047de30,20,FUN_0047de30,false,1,1,RAW-src
0047de50,2790,FUN_0047de50,false,1,26,RAW-src
0047e940,72,FUN_0047e940,false,3,0,RAW-src
0047e990,316,FUN_0047e990,false,3,0,RAW-src
0047eb60,34,FUN_0047eb60,false,1,1,RAW-src
0047eb90,32,FUN_0047eb90,false,1,2,RAW-src
0047ebb0,13,FUN_0047ebb0,false,1,1,RAW-src
0047f2a0,32,FUN_0047f2a0,false,1,2,RAW-src
0047f2c0,13,FUN_0047f2c0,false,1,1,RAW-src
0047f2d0,1754,FUN_0047f2d0,false,1,14,RAW-src
0047f9e0,74,FUN_0047f9e0,false,1,1,RAW-src
0047fa30,31,FUN_0047fa30,false,1,2,RAW-src
0047fa50,128,FUN_0047fa50,false,1,1,RAW-src
0047fad0,1039,FUN_0047fad0,false,1,10,RAW-src
0047fee0,1069,FUN_0047fee0,false,1,11,RAW-src
00480310,3479,FUN_00480310,false,1,19,RAW-src
004812d0,20,FUN_004812d0,false,2,1,RAW-src
004812f0,32,FUN_004812f0,false,1,2,RAW-src
00481310,13,FUN_00481310,false,1,1,RAW-src
00481320,2824,FUN_00481320,false,1,27,RAW-src
00481e30,69,FUN_00481e30,false,1,0,RAW-src
00481fb0,165,FUN_00481fb0,false,1,1,RAW-src
00482060,31,FUN_00482060,false,1,2,RAW-src
00482080,163,FUN_00482080,false,1,2,RAW-src
00482130,964,FUN_00482130,false,1,8,RAW-src
00482500,20,FUN_00482500,false,1,1,RAW-src
00482520,32,FUN_00482520,false,1,2,RAW-src
00482540,13,FUN_00482540,false,1,1,RAW-src
00482550,4713,FUN_00482550,false,1,39,RAW-src
004837c0,20,FUN_004837c0,false,1,1,RAW-src
004837e0,2055,FUN_004837e0,false,1,12,RAW-src
00483ff0,4038,FUN_00483ff0,false,3,39,RAW-src
00484fc0,32,FUN_00484fc0,false,1,2,RAW-src
00484fe0,13,FUN_00484fe0,false,1,1,RAW-src
00484ff0,1715,FUN_00484ff0,false,1,14,RAW-src
004856d0,110,FUN_004856d0,false,1,2,RAW-src
00485740,31,FUN_00485740,false,1,2,RAW-src
00485760,130,FUN_00485760,false,1,3,RAW-src
004857f0,5791,FUN_004857f0,false,1,23,RAW-src
00486ea0,6357,FUN_00486ea0,false,1,55,RAW-src
00488a90,32,FUN_00488a90,false,1,2,RAW-src
00488ab0,13,FUN_00488ab0,false,1,1,RAW-src
00488ac0,1999,FUN_00488ac0,false,1,14,RAW-src
004892c0,69,FUN_004892c0,false,1,0,RAW-src
00489310,416,FUN_00489310,false,1,4,RAW-src
00489550,32,FUN_00489550,false,1,2,RAW-src
00489570,13,FUN_00489570,false,1,1,RAW-src
00489580,7650,FUN_00489580,false,1,16,RAW-src
0048b3f0,44,FUN_0048b3f0,false,1,1,RAW-src
